Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Antlr 3.5.0.2,,,,,"Antlr, 3.5.0.2  Recommendation:  Remove Antlr, and replace with new package Antlr4 4.6.6"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.Cors 5.2.7,,,,,"Microsoft.AspNet.Cors, 5.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.Mvc 5.2.7,,,,,"Microsoft.AspNet.Mvc, 5.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.Razor 3.2.7,,,,,"Microsoft.AspNet.Razor, 3.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.Web.Optimization 1.1.3,,,,,"Microsoft.AspNet.Web.Optimization, 1.1.3  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.WebApi 5.2.7,,,,,"Microsoft.AspNet.WebApi, 5.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.WebApi.Core 5.2.7,,,,,"Microsoft.AspNet.WebApi.Core, 5.2.7  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.WebApi.Cors 5.2.7,,,,,"Microsoft.AspNet.WebApi.Cors, 5.2.7  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.WebApi.WebHost 5.2.7,,,,,"Microsoft.AspNet.WebApi.WebHost, 5.2.7  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.AspNet.WebPages 3.2.7,,,,,"Microsoft.AspNet.WebPages, 3.2.7  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,EsalesApi\EsalesApi.csproj,File,EsalesApi\EsalesApi.csproj,,,Microsoft.Bcl 1.1.10,,,,,"Microsoft.Bcl, 1.1.10  Recommendation:  No supported version found"
